OBJECTID,SHAPE,COBAMA,BARRIOVEREDAID,TIPO_MANZANA,NOMBRE_BARRIO,CODIGO_COMUNA,NOMBRE_COMUNA,SHAPE_Length,SHAPE_Area
1,"(837029.3258396442, 1187952.1880487623)",0104026,0104,MZ,Granizal,01,POPULAR,254.043997891215,2046.4926235872758
2,"(838165.7990386987, 1188623.5876763572)",0102029,0102,MZ,Santo Domingo Savio No. 2,01,POPULAR,98.6132095473849,541.5069623080572
3,"(837250.791848679, 1188870.0800361198)",0103061,0103,MZ,Popular,01,POPULAR,164.945353213449,1234.7155410373837
4,"(838182.893866462, 1187999.3326258885)",0111012,0111,MZ,La Avanzada,01,POPULAR,161.9073689286587,672.3974273795412
5,"(837263.662351933, 1188978.9233998323)",0103066,0103,MZ,Popular,01,POPULAR,322.4820875923397,1731.3244262371368
6,"(838475.6130122088, 1187842.084840688)",0111002,0111,MZ,La Avanzada,01,POPULAR,437.19315603361895,6650.747220235139
7,"(837554.6580364149, 1188285.333931318)",0101043,0101,MZ,Santo Domingo Savio No. 1,01,POPULAR,151.2929011590123,1176.051114081097
8,"(838372.6890096404, 1187110.6473380898)",0112003,0112,MZ,Carpinelo,01,POPULAR,153.87061824593493,1001.7033622584989
9,"(837944.3783059213, 1187447.1739567823)",0108026,0108,MZ,El Compromiso,01,POPULAR,96.37819912591823,417.64663136126956
10,"(837223.7586922256, 1188119.4521197726)",0103014,0103,MZ,Popular,01,POPULAR,178.45379085145603,1402.0925468598095
11,"(837920.0008010593, 1187200.7105180568)",0109005,0109,MZ,Aldea Pablo VI,01,POPULAR,221.02560650378396,899.009179920793
12,"(838125.5335613107, 1187605.9420604669)",0112037,0112,MZ,Carpinelo,01,POPULAR,600.479071500124,6753.611004768535
13,"(837472.9461840315, 1188703.682979207)",0103049,0103,MZ,Popular,01,POPULAR,277.09370480722373,1718.233693132116
14,"(837552.6628448374, 1187858.5513662167)",0104039,0104,MZ,Granizal,01,POPULAR,102.13444032559683,609.5371827244775
15,"(837422.5887068267, 1187481.343865033)",0105044,0105,MZ,Moscú No. 2,01,POPULAR,89.72269804189517,453.9454716030019
16,"(838180.0617637556, 1188562.6351398705)",0102024,0102,MZ,Santo Domingo Savio No. 2,01,POPULAR,155.06513358805023,1253.7441365296083
17,"(837214.4827800705, 1188254.135863269)",0103017,0103,MZ,Popular,01,POPULAR,200.60785104431272,1624.8047179158268
18,"(837722.9139286013, 1187386.5394367825)",0108013,0108,MZ,El Compromiso,01,POPULAR,474.0529182760415,2500.0221981171762
19,"(837085.4205221109, 1187197.7548714122)",0106024,0106,MZ,Villa Guadalupe,01,POPULAR,259.8390503448144,4502.296692106525
20,"(836978.7524292704, 1186992.2388674102)",0106003,0106,MZ,Villa Guadalupe,01,POPULAR,379.6184851526212,6698.677456039327
21,"(838231.4905656164, 1187303.5076650367)",0112021,0112,MZ,Carpinelo,01,POPULAR,387.6300727684009,2830.1958646546927
22,"(837905.2774671565, 1187657.8158781207)",0110008,0110,MZ,La Esperanza No. 2,01,POPULAR,253.7566928630861,2612.2205934464464
